Address,Coordinates
"60 East 34 Street, New York, NY 10016","[-73.982116, 40.747173]"
"819 1 Avenue, New York, NY 10017","[-73.930495, 40.802492]"
"167 Payson Avenue, New York, NY 10034","[-73.926916, 40.868011]"
"458 West 20 Street, New York, NY 10011","[-74.005163, 40.745409]"
"42 East 20 Street, New York, NY 10003","[-73.988377, 40.738397]"
"1072 Riverside Drive, New York, NY 10032","[-73.943561, 40.842986]"
"10 East 38 Street, New York, NY 10016","[-73.981991, 40.750381]"
"330 East 74 Street, New York, NY 10021","[-73.956358, 40.769496]"
"38 West 75 Street, New York, NY 10023","[-73.97639, 40.77867]"
"14 7 Avenue South, New York, NY 10014","[-74.003268, 40.733067]"
